set_voltage_v,measured_voltage_v,measured_current_a
2.600000,1.201298,0.000000
2.625000,1.659256,0.000000
2.650000,2.650000,0.000000
2.675000,2.650000,0.000000
2.700000,2.675000,0.000000
2.725000,2.725000,0.000000
2.750000,2.725000,0.000000
2.775000,2.750000,0.000000
2.800000,2.800000,0.000000
2.825000,2.800000,0.000000
2.850000,2.825000,0.000000
2.875000,2.875000,0.000000
2.900000,2.875000,0.000000
2.925000,2.900000,0.000000
2.950000,2.950000,0.001272
2.975000,2.950000,0.001657
3.000000,2.975000,0.002231
3.025000,3.025000,0.003199
3.050000,3.025000,0.003830
3.075000,3.050000,0.004740
3.100000,3.100000,0.006047
3.125000,3.100000,0.006817
3.150000,3.125000,0.007906
3.175000,3.175000,0.009370
3.200000,3.175000,0.010194
3.225000,3.200000,0.011543
3.250000,3.250000,0.013255
3.275000,3.250000,0.014059
3.300000,3.275000,0.015496
3.325000,3.325000,0.017733
3.350000,3.325000,0.020000
