current_set_ma,measured_voltage_v,measured_current_ma,measured_power_mw,peak_pixel,peak_wavelength_nm,peak_counts,saturated_pixels,illuminated_max
1.000000,1.958400,2.300000,4.000000,97,556.645281,38.166667,0,184.250000
2.000000,1.995300,3.300000,7.000000,98,558.937478,61.666667,0,188.416667
3.000000,2.025000,4.200000,9.000000,98,558.937478,87.833333,0,214.583333
4.000000,2.058200,5.400000,11.000000,98,558.937478,118.916667,0,245.666667
5.000000,2.086800,6.300000,13.000000,98,558.937478,144.250000,0,271.000000
6.000000,2.111900,7.300000,15.000000,98,558.937478,171.666667,0,298.416667
7.000000,2.138600,8.300000,18.000000,98,558.937478,203.666667,0,330.416667
8.000000,2.162000,9.200000,20.000000,98,558.937478,233.666667,0,360.416667
9.000000,2.187900,10.300000,23.000000,98,558.937478,255.333333,0,382.083333
10.000000,2.213000,11.200000,25.000000,98,558.937478,287.500000,0,414.250000
11.000000,2.238000,12.300000,27.000000,98,558.937478,318.166667,0,444.916667
12.000000,2.262800,13.400000,30.000000,98,558.937478,336.666667,0,463.416667
13.000000,2.287100,14.300000,33.000000,98,558.937478,363.833333,0,490.583333
14.000000,2.308800,15.300000,35.000000,98,558.937478,390.416667,0,517.166667
15.000000,2.332900,16.400000,38.000000,98,558.937478,424.416667,0,551.166667
16.000000,2.356700,17.300000,41.000000,98,558.937478,435.166667,0,561.916667
17.000000,2.378300,18.300000,43.000000,99,561.223951,460.333333,0,586.916667
18.000000,2.401700,19.300000,46.000000,99,561.223951,488.416667,0,613.583333
